team,season,wins,losses,win_loss_pct,rank_team,srs,pace,rel_pace,off_rtg,rel_off_rtg,def_rtg,rel_def_rtg,playoffs,coaches
ATL,1988-89,52,30,.634,3rd of 6,5.26,98.3,-2.3,112.2,4.4,107.2,-0.6,Lost E. Conf. 1st Rnd.,M. Fratello
ATL,1987-88,50,32,.610,3rd of 6,4.02,96.4,-3.2,111.3,3.3,107.6,-0.4,Lost E. Conf. Semis,M. Fratello
ATL,1986-87,57,25,.695,1st of 6,7.18,97.4,-3.4,112.6,4.3,105.2,-3.1,Lost E. Conf. Semis,M. Fratello
ATL,1985-86,50,32,.610,2nd of 6,2.59,100.0,-2.1,107.9,0.7,105.6,-1.6,Lost E. Conf. Semis,M. Fratello
ATL,1984-85,34,48,.415,5th of 6,-1.14,99.8,-2.3,105.9,-2.0,107.3,-0.6,,M. Fratello
ATL,1983-84,40,42,.488,3rd of 6,-1.08,95.3,-6.1,105.5,-2.1,106.9,-0.7,Lost E. Conf. 1st Rnd.,M. Fratello
ATL,1982-83,43,39,.524,2nd of 6,-0.72,98.9,-4.2,102.2,-2.5,103.2,-1.5,Lost E. Conf. 1st Rnd.,K. Loughery
ATL,1981-82,42,40,.512,2nd of 6,0.81,95.1,-5.8,105.1,-1.8,104.6,-2.3,Lost E. Conf. 1st Rnd.,K. Loughery
ATL,1980-81,31,51,.378,4th of 6,-2.37,99.4,-2.4,104.3,-1.2,107.3,1.8,,H. Brown
ATL,1979-80,50,32,.610,1st of 6,2.83,98.9,-4.2,105.2,-0.1,102.3,-3.0,Lost E. Conf. Semis,H. Brown
ATL,1978-79,46,36,.561,3rd of 6,1.92,102.5,-3.3,105.6,1.8,103.6,-0.2,Lost E. Conf. Semis,H. Brown
ATL,1977-78,41,41,.500,4th of 6,-0.13,103.3,-3.4,99.7,-1.2,99.8,-1.1,Lost E. Conf. 1st Rnd.,H. Brown
ATL,1976-77,31,51,.378,6th of 6,-3.87,104.6,-1.9,97.8,-1.7,101.6,2.1,,H. Brown
ATL,1975-76,29,53,.354,5th of 5,-2.66,103.6,-1.9,98.4,0.1,101.2,2.9,,C. Fitzsimmons
ATL,1974-75,31,51,.378,4th of 5,-1.32,106.3,1.8,98.3,0.6,99.5,1.8,,C. Fitzsimmons
ATL,1973-74,35,47,.427,2nd of 4,-1.47,110.8,3.0,97.7,0.0,99.0,1.3,,C. Fitzsimmons
ATL,1972-73,46,36,.561,2nd of 4,-0.15,113.8,3.1,98.0,1.2,98.0,1.2,Lost E. Conf. Semis,C. Fitzsimmons
ATL,1971-72,36,46,.439,2nd of 4,-1.94,110.7,-1.3,98.7,0.8,100.3,2.4,Lost E. Conf. Semis,R. Guerin
ATL,1970-71,36,46,.439,2nd of 4,-1.30,117.2,2.1,96.9,-0.3,98.4,1.2,Lost E. Conf. Semis,R. Guerin
ATL,1969-70,48,34,.585,1st of 7,0.31,114.4,-2.7,102.3,3.3,101.9,2.9,Lost W. Div. Finals,R. Guerin
ATL,1968-69,48,34,.585,2nd of 7,2.06,113.9,-3.0,97.4,1.9,95.5,0.0,Lost W. Div. Finals,R. Guerin
ATL,1967-68,56,26,.683,1st of 6,2.37,113.7,-6.1,98.4,1.6,96.0,-0.8,Lost W. Div. Semis,R. Guerin
ATL,1966-67,39,42,.481,2nd of 5,-1.44,117.7,-3.9,96.1,0.0,97.4,1.3,Lost W. Div. Finals,R. Guerin
ATL,1965-66,36,44,.450,3rd of 5,-0.50,116.6,-4.8,95.6,0.7,96.1,1.2,Lost W. Div. Finals,R. Guerin
ATL,1964-65,45,35,.563,2nd of 5,2.68,115.1,-2.2,94.5,0.9,91.8,-1.8,Lost W. Div. Semis,H. Gallatin
ATL,1963-64,46,34,.575,2nd of 5,1.39,114.6,1.4,95.4,0.8,94.0,-0.6,Lost W. Div. Finals,H. Gallatin
ATL,1962-63,48,32,.600,2nd of 5,1.38,115.6,0.6,94.8,-1.1,93.3,-2.6,Lost W. Div. Finals,H. Gallatin
ATL,1961-62,29,51,.363,4th of 5,-2.96,124.6,3.3,95.2,1.6,97.8,4.2,,P. Seymour
ATL,1960-61,51,28,.646,1st of 4,2.99,129.1,5.6,91.4,-0.7,88.7,-3.4,Lost Finals,P. Seymour
ATL,1959-60,46,29,.613,1st of 4,1.77,120.0,-2.3,94.0,2.9,91.8,0.7,Lost Finals,E. Macauley
ATL,1958-59,49,23,.681,1st of 4,2.89,115.6,3.6,93.3,3.1,90.1,-0.1,Lost W. Div. Finals,A. Phillip
ATL,1957-58,41,31,.569,1st of 4,0.82,119.5,2.5,89.7,0.9,88.6,-0.2,Won Finals,A. Hannum
ATL,1956-57,34,38,.472,1st of 4,-0.27,108.3,3.4,89.0,0.1,89.1,0.2,Lost Finals,R. Holzman
ATL,1955-56,33,39,.458,3rd of 4,-1.42,109.4,6.6,87.6,-2.7,88.9,-1.4,Lost W. Div. Finals,R. Holzman
ATL,1954-55,26,46,.361,4th of 4,-2.66,100.5,2.4,86.4,-3.4,89.4,-0.4,,R. Holzman
ATL,1953-54,21,51,.292,4th of 4,-4.55,84.2,0.6,82.9,-4.6,89.2,1.7,,A. Levane
ATL,1952-53,27,44,.380,5th of 5,-2.49,88.4,8.0,84.0,-4.0,85.7,-2.0,,A. Levane
ATL,1951-52,17,49,.258,5th of 5,-7.04,90.7,4.9,80.4,-6.5,89.1,2.2,,D. Moore
ATL,1950-51,25,43,.368,5th of 5,-3.22,103.9,18.4,80.8,-4.3,84.4,-0.7,,D. McMillan
ATL,1949-50,29,35,.453,3rd of 6,-1.43,,,,,,,Lost W. Div. Semis,R. Potter
BOS,2024-25,0,0,,,,,,,,,,,J. Mazzulla
BOS,2023-24,64,18,.780,1st of 5,10.75,97.2,-1.3,123.2,7.9,111.6,-3.7,Won Finals,J. Mazzulla
BOS,2022-23,57,25,.695,1st of 5,6.38,98.5,-0.6,118.0,3.2,111.5,-3.3,Lost E. Conf. Finals,J. Mazzulla
BOS,2021-22,51,31,.622,1st of 5,7.02,96.6,-1.6,114.4,2.4,106.9,-5.1,Lost Finals,I. Udoka
BOS,2020-21,36,36,.500,4th of 5,1.32,98.3,-0.9,114.0,1.7,112.5,0.2,Lost E. Conf. 1st Rnd.,B. Stevens
BOS,2019-20,48,24,.667,2nd of 5,5.83,99.5,-0.8,113.3,2.7,107.0,-3.6,Lost E. Conf. Finals,B. Stevens
BOS,2018-19,49,33,.598,3rd of 5,3.90,99.2,-0.8,112.7,2.3,108.3,-2.1,Lost E. Conf. Semis,B. Stevens
BOS,2017-18,55,27,.671,2nd of 5,3.23,96.0,-1.3,107.6,-1.0,103.9,-4.7,Lost E. Conf. Finals,B. Stevens
BOS,2016-17,53,29,.646,1st of 5,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,Lost E. Conf. Finals,B. Stevens
BOS,2015-16,48,34,.585,2nd of 5,2.84,98.5,2.7,106.8,0.4,103.6,-2.8,Lost E. Conf. 1st Rnd.,B. Stevens
BOS,2014-15,40,42,.488,2nd of 5,-0.40,95.8,1.9,104.7,-0.9,104.5,-1.1,Lost E. Conf. 1st Rnd.,B. Stevens
BOS,2013-14,25,57,.305,4th of 5,-4.97,93.3,-0.6,102.9,-3.8,107.7,1.0,,B. Stevens
BOS,2012-13,41,40,.506,3rd of 5,-0.62,91.7,-0.3,103.1,-2.8,103.3,-2.6,Lost E. Conf. 1st Rnd.,D. Rivers
BOS,2011-12,39,27,.591,1st of 5,2.26,90.4,-0.9,101.0,-3.6,98.2,-6.4,Lost E. Conf. Finals,D. Rivers
BOS,2010-11,56,26,.683,1st of 5,4.83,90.4,-1.7,106.2,-1.1,100.3,-7.0,Lost E. Conf. Semis,D. Rivers
BOS,2009-10,50,32,.610,1st of 5,3.37,91.6,-1.1,107.7,0.1,103.8,-3.8,Lost Finals,D. Rivers
BOS,2008-09,62,20,.756,1st of 5,7.44,90.4,-1.3,110.5,2.2,102.3,-6.0,Lost E. Conf. Semis,D. Rivers
BOS,2007-08,66,16,.805,1st of 5,9.30,90.9,-1.5,110.2,2.7,98.9,-8.6,Won Finals,D. Rivers
BOS,2006-07,24,58,.293,5th of 5,-3.70,92.0,0.1,103.2,-3.3,106.9,0.4,,D. Rivers
BOS,2005-06,33,49,.402,3rd of 5,-1.59,92.2,1.7,105.2,-1.0,106.9,0.7,,D. Rivers
BOS,2004-05,45,37,.549,1st of 5,0.35,93.3,2.4,107.5,1.4,106.6,0.5,Lost E. Conf. 1st Rnd.,D. Rivers
BOS,2003-04,36,46,.439,4th of 7,-1.99,93.2,3.1,102.1,-0.8,103.7,0.8,Lost E. Conf. 1st Rnd.,J. O'Brien
BOS,2002-03,44,38,.537,3rd of 7,-0.75,90.9,-0.1,101.2,-2.4,101.6,-2.0,Lost E. Conf. Semis,J. O'Brien
BOS,2001-02,49,33,.598,2nd of 7,1.75,92.5,1.8,103.4,-1.1,101.0,-3.5,Lost E. Conf. Finals,J. O'Brien
BOS,2000-01,36,46,.439,5th of 7,-2.40,92.6,1.3,101.4,-1.6,103.7,0.7,,R. Pitino
BOS,1999-00,35,47,.427,5th of 7,-1.00,94.6,1.5,104.8,0.7,105.6,1.5,,R. Pitino
BOS,1998-99,19,31,.380,5th of 7,-1.75,91.5,2.6,100.4,-1.8,102.4,0.2,,R. Pitino
BOS,1997-98,36,46,.439,6th of 7,-1.96,93.3,3.0,102.6,-2.4,105.4,0.4,,R. Pitino
BOS,1996-97,15,67,.183,7th of 7,-6.62,95.8,5.7,103.9,-2.8,111.4,4.7,,M. Carr
BOS,1995-96,33,49,.402,5th of 7,-3.37,96.2,4.4,106.4,-1.2,109.9,2.3,,M. Carr
BOS,1994-95,35,47,.427,3rd of 7,-1.92,94.0,1.1,108.6,0.3,110.6,2.3,Lost E. Conf. 1st Rnd.,C. Ford
BOS,1993-94,32,50,.390,5th of 7,-4.28,95.6,0.5,104.2,-2.1,108.7,2.4,,C. Ford
BOS,1992-93,48,34,.585,2nd of 7,0.93,94.9,-1.9,108.7,0.7,107.8,-0.2,Lost E. Conf. 1st Rnd.,C. Ford
BOS,1991-92,51,31,.622,1st of 7,3.41,95.8,-0.8,110.8,2.6,107.0,-1.2,Lost E. Conf. Semis,C. Ford
BOS,1990-91,56,26,.683,1st of 6,5.22,98.5,0.7,112.6,4.7,106.7,-1.2,Lost E. Conf. Semis,C. Ford
BOS,1989-90,52,30,.634,2nd of 6,3.23,98.2,-0.1,112.0,3.9,107.9,-0.2,Lost E. Conf. 1st Rnd.,J. Rodgers
BOS,1988-89,42,40,.512,3rd of 6,1.26,98.1,-2.5,110.8,3.0,109.6,1.8,Lost E. Conf. 1st Rnd.,J. Rodgers
BOS,1987-88,57,25,.695,1st of 5,6.15,97.9,-1.7,115.4,7.4,109.4,1.4,Lost E. Conf. Finals,K. Jones
BOS,1986-87,59,23,.720,1st of 5,6.57,98.6,-2.2,113.5,5.2,106.8,-1.5,Lost Finals,K. Jones
BOS,1985-86,67,15,.817,1st of 5,9.06,101.2,-0.9,111.8,4.6,102.6,-4.6,Won Finals,K. Jones
BOS,1984-85,63,19,.768,1st of 5,6.47,101.6,-0.5,112.8,4.9,106.3,-1.6,Lost Finals,K. Jones
BOS,1983-84,62,20,.756,1st of 5,6.42,99.7,-1.7,110.9,3.3,104.4,-3.2,Won Finals,K. Jones
BOS,1982-83,56,26,.683,2nd of 5,5.34,104.0,0.9,106.9,2.2,101.8,-2.9,Lost E. Conf. Semis,B. Fitch
BOS,1981-82,63,19,.768,1st of 5,6.35,101.5,0.6,109.8,2.9,103.5,-3.4,Lost E. Conf. Finals,B. Fitch
BOS,1980-81,62,20,.756,1st of 5,6.05,100.8,-1.0,108.4,2.9,102.6,-2.9,Won Finals,B. Fitch
BOS,1979-80,61,21,.744,1st of 5,7.37,102.6,-0.5,109.4,4.1,101.9,-3.4,Lost E. Conf. Finals,B. Fitch
BOS,1978-79,29,53,.354,5th of 5,-4.78,106.5,0.7,101.6,-2.2,106.4,2.6,,T. Sanders
BOS,1977-78,32,50,.390,3rd of 5,-1.86,105.9,-0.8,99.1,-1.8,100.9,0.0,,T. Heinsohn
BOS,1976-77,44,38,.537,2nd of 5,-1.90,107.5,1.0,96.5,-3.0,98.3,-1.2,Lost E. Conf. Semis,T. Heinsohn
BOS,1975-76,54,28,.659,1st of 4,2.25,106.9,1.4,98.9,0.6,96.7,-1.6,Won Finals,T. Heinsohn
BOS,1974-75,60,22,.732,1st of 4,5.40,106.1,1.6,100.0,2.3,94.7,-3.0,Lost E. Conf. Finals,T. Heinsohn
BOS,1973-74,56,26,.683,1st of 4,3.42,110.0,2.2,98.6,0.9,95.1,-2.6,Won Finals,T. Heinsohn
BOS,1972-73,68,14,.829,1st of 4,7.35,114.5,3.8,98.1,1.3,91.0,-5.8,Lost E. Conf. Finals,T. Heinsohn
BOS,1971-72,56,26,.683,1st of 4,4.38,116.1,4.1,99.3,1.4,95.2,-2.7,Lost E. Conf. Finals,T. Heinsohn
BOS,1970-71,44,38,.537,3rd of 4,2.30,120.2,5.1,97.0,-0.2,95.3,-1.9,,T. Heinsohn
BOS,1969-70,34,48,.415,6th of 7,-1.60,117.5,0.4,97.3,-1.7,98.9,-0.1,,T. Heinsohn
BOS,1968-69,48,34,.585,4th of 7,5.35,117.5,0.6,93.8,-1.7,89.1,-6.4,Won Finals,B. Russell
BOS,1967-68,54,28,.659,2nd of 6,3.87,121.1,1.3,95.7,-1.1,92.4,-4.4,Won Finals,B. Russell
BOS,1966-67,60,21,.741,2nd of 5,7.24,121.2,-0.4,97.5,1.4,91.0,-5.1,Lost E. Div. Finals,B. Russell
BOS,1965-66,54,26,.675,2nd of 4,4.34,122.0,0.6,92.3,-2.6,88.3,-6.6,Won Finals,R. Auerbach
BOS,1964-65,62,18,.775,1st of 4,7.46,123.6,6.3,90.9,-2.7,84.2,-9.4,Won Finals,R. Auerbach
BOS,1963-64,59,21,.738,1st of 4,6.93,125.0,11.8,90.1,-4.5,83.8,-10.8,Won Finals,R. Auerbach
BOS,1962-63,58,22,.725,1st of 4,6.38,127.3,12.3,93.0,-2.9,87.4,-8.5,Won Finals,R. Auerbach
BOS,1961-62,60,20,.750,1st of 4,8.25,130.8,9.5,92.1,-1.5,85.1,-8.5,Won Finals,R. Auerbach
BOS,1960-61,57,22,.722,1st of 4,4.94,134.4,10.9,88.7,-3.4,84.5,-7.6,Won Finals,R. Auerbach
BOS,1959-60,59,16,.787,1st of 4,7.62,136.3,14.0,91.0,-0.1,84.9,-6.2,Won Finals,R. Auerbach
BOS,1958-59,52,20,.722,1st of 4,5.84,128.7,16.7,89.5,-0.7,84.5,-5.7,Won Finals,R. Auerbach
BOS,1957-58,49,23,.681,1st of 4,5.02,124.8,7.8,88.0,-0.8,83.6,-5.2,Lost Finals,R. Auerbach
BOS,1956-57,44,28,.611,1st of 4,4.78,118.0,13.1,88.5,-0.4,84.0,-4.9,Won Finals,R. Auerbach
BOS,1955-56,39,33,.542,2nd of 4,0.72,114.5,11.7,92.2,1.9,91.7,1.4,Lost E. Div. Semis,R. Auerbach
BOS,1954-55,36,36,.500,3rd of 5,-0.03,108.6,10.5,93.0,3.2,93.0,3.2,Lost E. Div. Finals,R. Auerbach
BOS,1953-54,42,30,.583,3rd of 5,1.97,93.0,9.4,92.5,5.0,90.0,2.5,Lost E. Div. Finals,R. Auerbach
BOS,1952-53,46,25,.648,3rd of 5,1.94,94.7,14.3,91.7,3.7,89.3,1.6,Lost E. Div. Finals,R. Auerbach
BOS,1951-52,39,27,.591,2nd of 5,3.60,100.0,14.2,90.4,3.5,86.4,-0.5,Lost E. Div. Semis,R. Auerbach
BOS,1950-51,39,30,.565,2nd of 6,-0.41,95.9,10.4,87.3,2.2,87.6,2.5,Lost E. Div. Semis,R. Auerbach
BOS,1949-50,22,46,.324,6th of 6,-1.73,,,,,,,,A. Julian
BOS,1948-49,25,35,.417,5th of 6,-2.76,,,,,,,,A. Julian
BOS,1947-48,20,28,.417,3rd of 4,-3.76,,,,,,,Lost Quarterfinals,J. Russell
BOS,1946-47,22,38,.367,5th of 6,-4.45,,,,,,,,J. Russell
CHA,2024-25,0,0,,,,,,,,,,,C. Lee
CHA,2023-24,21,61,.256,4th of 5,-10.12,97.3,-1.2,109.3,-6.0,119.8,4.5,,S. Clifford
CHA,2022-23,27,55,.329,5th of 5,-5.89,100.8,1.7,109.2,-5.6,115.3,0.5,,S. Clifford
CHA,2021-22,43,39,.524,3rd of 5,0.53,100.0,1.8,114.1,2.1,113.7,1.7,,J. Borrego
CHA,2020-21,33,39,.458,4th of 5,-1.94,98.3,-0.9,110.9,-1.4,112.8,0.5,,J. Borrego
CHA,2019-20,23,42,.354,3rd of 5,-7.03,95.8,-4.5,106.3,-4.3,113.3,2.7,,J. Borrego
CHA,2018-19,39,43,.476,2nd of 5,-1.32,98.7,-1.3,111.4,1.0,112.5,2.1,,J. Borrego
CHA,2017-18,36,46,.439,3rd of 5,0.07,98.4,1.1,109.4,0.8,109.1,0.5,,S. Clifford
CHA,2016-17,36,46,.439,4th of 5,-0.07,95.7,-0.7,108.8,0.0,108.6,-0.2,,S. Clifford
CHA,2015-16,48,34,.585,3rd of 5,2.36,95.7,-0.1,107.1,0.7,104.3,-2.1,Lost E. Conf. 1st Rnd.,S. Clifford
CHA,2014-15,33,49,.402,4th of 5,-3.44,93.0,-0.9,100.1,-5.5,103.5,-2.1,,S. Clifford
CHA,2013-14,43,39,.524,3rd of 5,-0.89,92.4,-1.5,103.6,-3.1,103.8,-2.9,Lost E. Conf. 1st Rnd.,S. Clifford
CHA,2012-13,21,61,.256,4th of 5,-9.29,91.5,-0.5,101.5,-4.4,111.5,5.6,,M. Dunlap
CHA,2011-12,7,59,.106,5th of 5,-13.96,91.1,-0.2,95.2,-9.4,110.4,5.8,,P. Silas
CHA,2010-11,34,48,.415,4th of 5,-4.08,89.6,-2.5,103.4,-3.9,107.8,0.5,,L. Brown
CHA,2009-10,44,38,.537,4th of 5,1.30,90.4,-2.3,104.4,-3.2,102.8,-4.8,Lost E. Conf. 1st Rnd.,L. Brown
CHA,2008-09,35,47,.427,4th of 5,-1.20,88.3,-3.4,104.7,-3.6,106.1,-2.2,,L. Brown
CHA,2007-08,32,50,.390,4th of 5,-4.49,91.8,-0.6,104.6,-2.9,109.4,1.9,,S. Vincent
CHA,2006-07,33,49,.402,4th of 5,-3.97,92.0,0.1,103.6,-2.9,107.6,1.1,,B. Bickerstaff
CHA,2005-06,26,56,.317,4th of 5,-3.90,93.4,2.9,102.5,-3.7,106.7,0.5,,B. Bickerstaff
CHA,2004-05,18,64,.220,4th of 5,-6.15,92.3,1.4,101.1,-5.0,107.5,1.4,,B. Bickerstaff
CHA,2001-02,44,38,.537,2nd of 8,0.57,89.7,-1.0,104.3,-0.2,103.3,-1.2,Lost E. Conf. Semis,P. Silas
CHA,2000-01,46,36,.561,3rd of 8,1.45,89.4,-1.9,101.8,-1.2,99.5,-3.5,Lost E. Conf. Semis,P. Silas
CHA,1999-00,49,33,.598,2nd of 8,2.33,93.9,0.8,104.3,0.2,101.4,-2.7,Lost E. Conf. 1st Rnd.,P. Silas
CHA,1998-99,26,24,.520,5th of 8,0.63,89.7,0.8,102.3,0.1,102.4,0.2,,D. Cowens
CHA,1997-98,51,31,.622,3rd of 8,2.45,89.4,-0.9,107.5,2.5,105.3,0.3,Lost E. Conf. Semis,D. Cowens
CHA,1996-97,54,28,.659,4th of 8,2.13,88.6,-1.5,110.9,4.2,108.9,2.2,Lost E. Conf. 1st Rnd.,D. Cowens
CHA,1995-96,41,41,.500,6th of 8,-0.48,91.6,-0.2,111.2,3.6,111.8,4.2,,A. Bristow
CHA,1994-95,50,32,.610,2nd of 7,2.87,91.2,-1.7,109.6,1.3,106.1,-2.2,Lost E. Conf. 1st Rnd.,A. Bristow
CHA,1993-94,41,41,.500,5th of 7,-0.23,97.5,2.4,108.4,2.1,108.6,2.3,,A. Bristow
CHA,1992-93,44,38,.537,3rd of 7,-0.02,100.2,3.4,109.5,1.5,109.7,1.7,Lost E. Conf. Semis,A. Bristow
CHA,1991-92,31,51,.378,7th of 7,-3.57,101.7,5.1,107.1,-1.1,110.9,2.7,,A. Bristow
CHA,1990-91,26,56,.317,7th of 7,-4.95,97.3,-0.5,105.0,-2.9,110.4,2.5,,G. Littles
CHA,1989-90,19,63,.232,7th of 7,-7.00,98.1,-0.2,102.0,-6.1,109.9,1.8,,D. Harter
CHA,1988-89,20,62,.244,6th of 6,-7.74,100.3,-0.3,103.7,-4.1,112.1,4.3,,D. Harter
CHI,2024-25,0,0,,,,,,,,,,,B. Donovan
CHI,2023-24,39,43,.476,4th of 5,-1.77,96.3,-2.2,114.9,-0.4,116.3,1.0,,B. Donovan
CHI,2022-23,40,42,.488,3rd of 5,1.37,98.5,-0.6,113.5,-1.3,112.2,-2.6,,B. Donovan
CHI,2021-22,46,36,.561,2nd of 5,-0.38,98.3,0.1,113.2,1.2,113.6,1.6,Lost E. Conf. 1st Rnd.,B. Donovan
CHI,2020-21,31,41,.431,3rd of 5,-0.94,99.0,-0.2,111.1,-1.2,112.0,-0.3,,B. Donovan
CHI,2019-20,22,43,.338,3rd of 5,-4.00,99.7,-0.6,106.7,-3.9,109.8,-0.8,,J. Boylen
CHI,2018-19,22,60,.268,4th of 5,-8.32,99.0,-1.0,104.8,-5.6,113.2,2.8,,F. Hoiberg
CHI,2017-18,27,55,.329,5th of 5,-6.84,98.3,1.0,103.8,-4.8,110.9,2.3,,F. Hoiberg
CHI,2016-17,41,41,.500,4th of 5,0.03,95.3,-1.1,107.4,-1.4,107.0,-1.8,Lost E. Conf. 1st Rnd.,F. Hoiberg
CHI,2015-16,42,40,.512,4th of 5,-1.46,95.7,-0.1,105.0,-1.4,106.5,0.1,,F. Hoiberg
CHI,2014-15,50,32,.610,2nd of 5,2.54,92.8,-1.1,107.5,1.9,104.3,-1.3,Lost E. Conf. Semis,T. Thibodeau
CHI,2013-14,48,34,.585,2nd of 5,1.20,90.2,-3.7,102.5,-4.2,100.5,-6.2,Lost E. Conf. 1st Rnd.,T. Thibodeau
CHI,2012-13,45,37,.549,2nd of 5,-0.02,89.3,-2.7,103.5,-2.4,103.2,-2.7,Lost E. Conf. Semis,T. Thibodeau
CHI,2011-12,50,16,.758,1st of 5,7.43,89.1,-2.2,107.4,2.8,98.3,-6.3,Lost E. Conf. 1st Rnd.,T. Thibodeau
CHI,2010-11,62,20,.756,1st of 5,6.53,90.4,-1.7,108.3,1.0,100.3,-7.0,Lost E. Conf. Finals,T. Thibodeau
CHI,2009-10,41,41,.500,3rd of 5,-1.64,93.1,0.4,103.5,-4.1,105.3,-2.3,Lost E. Conf. 1st Rnd.,V. Del Negro
